Number,Name,Type1,Type2,Total,Attack,Defense,SP Attack,SP Defense,Speed,Weight,Ability1,Ability2,AbilityHA,Possible Moves
0457,Lumineon,Water,,460,69,69,76,69,86,24.0 kg (52.9 lbs),Swift Swim,Storm Drain,Water Veil,"Acrobatics, Agility, Air Cutter, Air Slash, Aqua Ring, Aqua Tail, Attract, Aurora Beam, Blizzard, Bounce, Bubble, Charm, Chilling Water, Confuse Ray, Dazzling Gleam, Encore, Endure, Facade, Flail, Giga Impact, Gust, Helping Hand, Hydro Pump, Hyper Beam, Ice Beam, Icy Wind, Pound, Protect, Psybeam, Rain Dance, Rest, Roost, Safeguard, Silver Wind, Sleep Talk, Soak, Substitute, Surf, Sweet Kiss, Swift, Tailwind, Take Down, Tera Blast, Thief, Tickle, U-turn, Water Gun, Water Pulse, Waterfall, Whirlpool"
0458,Mantyke,Water,Flying,345,45,20,50,60,120,65.0 kg (143.3 lbs),Swift Swim,Water Absorb,Water Veil,"Aerial Ace, Agility, Air Slash, Amnesia, Aqua Ring, Attract, Blizzard, Bounce, Bubble, Bubble Beam, Bulldoze, Confuse Ray, Double Team, Double-Edge, Earthquake, Endure, Facade, Hail, Haze, Headbutt, Hydro Pump, Ice Beam, Mirror Coat, Protect, Rain Dance, Rest, Rock Slide, Roost, Scald, Slam, Sleep Talk, Splash, Substitute, Supersonic, Surf, Swagger, Tackle, Tailwind, Take Down, Twister, Water Gun, Water Pulse, Waterfall, Wide Guard, Wing Attack"
0459,Snover,Grass,Ice,334,60,62,50,62,60,50.5 kg (111.3 lbs),Snow Warning,,Soundproof,"Avalanche, Blizzard, Body Slam, Bullet Seed, Chilling Water, Double-Edge, Endure, Energy Ball, Facade, Giga Drain, Grass Knot, Growth, Helping Hand, Ice Beam, Ice Punch, Ice Shard, Ice Spinner, Icicle Crash, Icy Wind, Ingrain, Leaf Storm, Leafage, Leech Seed, Leer, Magical Leaf, Mist, Mud-Slap, Powder Snow, Protect, Rain Dance, Razor Leaf, Rest, Seed Bomb, Sheer Cold, Sleep Talk, Snowscape, Solar Beam, Stomp, Substitute, Swagger, Swords Dance, Take Down, Tera Blast, Trailblaze, Water Pulse, Weather Ball, Wood Hammer"
0460,Abomasnow,Grass,Ice,494,90,92,75,92,85,135.5 kg (298.7 lbs),Snow Warning,,Soundproof,"Aurora Veil, Avalanche, Blizzard, Body Press, Body Slam, Brick Break, Bulldoze, Bullet Seed, Chilling Water, Double-Edge, Earth Power, Earthquake, Endure, Energy Ball, Facade, Fling, Focus Blast, Giga Drain, Giga Impact, Grass Knot, Growth, Helping Hand, Hyper Beam, Ice Beam, Ice Punch, Ice Shard, Ice Spinner, Icy Wind, Ingrain, Leaf Storm, Leafage, Leech Seed, Leer, Low Kick, Magical Leaf, Mist, Mud-Slap, Outrage, Powder Snow, Protect, Rain Dance, Razor Leaf, Rest, Rock Slide, Rock Tomb, Scary Face, Seed Bomb, Sheer Cold, Sleep Talk, Snowscape, Solar Beam, Stomp, Stomping Tantrum, Substitute, Swagger, Swords Dance, Take Down, Tera Blast, Trailblaze, Water Pulse, Weather Ball, Wood Hammer"
0460,Abomasnow,Grass,Ice,594,90,132,105,132,105,135.5 kg (298.7 lbs),Snow Warning,,Soundproof,"Aurora Veil, Avalanche, Blizzard, Body Press, Body Slam, Brick Break, Bulldoze, Bullet Seed, Chilling Water, Double-Edge, Earth Power, Earthquake, Endure, Energy Ball, Facade, Fling, Focus Blast, Giga Drain, Giga Impact, Grass Knot, Growth, Helping Hand, Hyper Beam, Ice Beam, Ice Punch, Ice Shard, Ice Spinner, Icy Wind, Ingrain, Leaf Storm, Leafage, Leech Seed, Leer, Low Kick, Magical Leaf, Mist, Mud-Slap, Outrage, Powder Snow, Protect, Rain Dance, Razor Leaf, Rest, Rock Slide, Rock Tomb, Scary Face, Seed Bomb, Sheer Cold, Sleep Talk, Snowscape, Solar Beam, Stomp, Stomping Tantrum, Substitute, Swagger, Swords Dance, Take Down, Tera Blast, Trailblaze, Water Pulse, Weather Ball, Wood Hammer"
0461,Weavile,Dark,Ice,510,70,120,65,45,85,34.0 kg (75.0 lbs),Pressure,,Pickpocket,"Aerial Ace, Agility, Assurance, Avalanche, Baton Pass, Beat Up, Bite, Blizzard, Brick Break, Calm Mind, Chilling Water, Counter, Dark Pulse, Dig, Double Hit, Endure, Facade, Fake Out, Fake Tears, False Swipe, Feint, Fling, Focus Blast, Foul Play, Fury Swipes, Giga Impact, Helping Hand, Hone Claws, Hyper Beam, Ice Beam, Ice Punch, Ice Shard, Ice Spinner, Icicle Crash, Icy Wind, Leer, Low Kick, Low Sweep, Metal Claw, Metronome, Nasty Plot, Night Slash, Poison Jab, Protect, Quick Attack, Rain Dance, Rest, Scary Face, Scratch, Screech, Shadow Ball, Shadow Claw, Slash, Sleep Talk, Snarl, Snowscape, Spite, Substitute, Sunny Day, Surf, Swift, Swords Dance, Take Down, Taunt, Tera Blast, Thief, Trailblaze, Water Pulse, X-Scissor"
0462,Magnezone,Electric,Steel,535,70,70,115,130,90,180.0 kg (396.8 lbs),Magnet Pull,Sturdy,Analytic,"Body Press, Body Slam, Charge Beam, Confuse Ray, Discharge, Eerie Impulse, Electric Terrain, Electro Ball, Electroweb, Endure, Explosion, Facade, Flash Cannon, Giga Impact, Gyro Ball, Heavy Slam, Helping Hand, Hyper Beam, Iron Defense, Iron Head, Light Screen, Lock-On, Magnet Rise, Magnetic Flux, Metal Sound, Mirror Coat, Protect, Rain Dance, Reflect, Rest, Sandstorm, Screech, Sleep Talk, Spark, Steel Beam, Substitute, Sunny Day, Supersonic, Swift, Tackle, Take Down, Tera Blast, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Tri Attack, Volt Switch, Wild Charge, Zap Cannon"
0463,Lickilicky,Normal,,515,110,85,95,80,95,140.0 kg (308.6 lbs),Own Tempo,Oblivious,Cloud Nine,"Amnesia, Attract, Belch, Belly Drum, Blizzard, Body Slam, Brick Break, Bulldoze, Curse, Cut, Defense Curl, Dig, Disable, Double Team, Double-Edge, Dream Eater, Earthquake, Endure, Explosion, Facade, Fire Blast, Flamethrower, Fling, Focus Blast, Focus Punch, Giga Impact, Gyro Ball, Hammer Arm, Hyper Beam, Ice Beam, Iron Tail, Knock Off, Lick, Muddy Water, Power Whip, Protect, Psych Up, Rain Dance, Rest, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Rollout, Sandstorm, Screech, Shadow Ball, Shock Wave, Slam, Sleep Talk, Snore, Solar Beam, Stomp, Strength, Substitute, Sunny Day, Supersonic, Surf, Swagger, Swords Dance, Tackle, Thief, Thrash, Thunder, Thunderbolt, Water Pulse, Work Up, Wrap, Zen Headbutt"
0464,Rhyperior,Ground,Rock,535,115,140,130,55,55,282.8 kg (623.5 lbs),Lightning Rod,Solid Rock,Reckless,"Attract, Avalanche, Blizzard, Brick Break, Bulldoze, Counter, Crunch, Crush Claw, Curse, Cut, Dig, Double Team, Double-Edge, Dragon Pulse, Dragon Rush, Drill Run, Earthquake, Endure, Facade, Fire Blast, Fire Fang, Flamethrower, Flash Cannon, Fling, Focus Blast, Focus Punch, Giga Impact, Guard Split, Hammer Arm, High Horsepower, Horn Attack, Horn Drill, Hyper Beam, Ice Beam, Ice Fang, Iron Tail, Megahorn, Metal Burst, Payback, Poison Jab, Protect, Rain Dance, Rest, Reversal, Roar, Rock Blast, Rock Climb, Rock Polish, Rock Slide, Rock Smash, Rock Tomb, Rock Wrecker, Sandstorm, Scary Face, Shadow Claw, Shock Wave, Skull Bash, Sleep Talk, Smack Down, Stealth Rock, Stomp, Stone Edge, Strength, Substitute, Sunny Day, Surf, Swagger, Swords Dance, Tackle, Tail Whip, Take Down, Thief, Thunder, Thunder Fang, Thunderbolt"
0465,Tangrowth,Grass,,535,100,100,125,110,50,128.6 kg (283.5 lbs),Chlorophyll,Leaf Guard,Regenerator,"Absorb, Acid Spray, Aerial Ace, Amnesia, Ancient Power, Attract, Bind, Block, Brick Break, Bulldoze, Bullet Seed, Confusion, Cut, Double Hit, Double Team, Earthquake, Endeavor, Endure, Energy Ball, Facade, Flail, Flash, Fling, Focus Blast, Giga Drain, Giga Impact, Grass Knot, Grassy Terrain, Growth, Hyper Beam, Ingrain, Knock Off, Leaf Storm, Leech Seed, Mega Drain, Nature Power, Payback, Poison Jab, Poison Powder, Power Swap, Power Whip, Protect, Psych Up, Rage Powder, Reflect, Rest, Rock Slide, Rock Smash, Rock Tomb, Shock Wave, Slam, Sleep Powder, Sleep Talk, Sludge Bomb, Solar Beam, Strength, Stun Spore, Substitute, Sunny Day, Swagger, Swords Dance, Thief, Tickle, Vine Whip"
0466,Electivire,Electric,,540,75,123,67,95,85,138.6 kg (305.6 lbs),Motor Drive,,Vital Spirit,"Attract, Brick Break, Bulldoze, Charge, Charge Beam, Cross Chop, Dig, Discharge, Double Team, Dynamic Punch, Earthquake, Endure, Facade, Feint, Fire Punch, Flamethrower, Flash, Fling, Focus Blast, Focus Punch, Giga Impact, Hammer Arm, Hyper Beam, Ice Punch, Iron Tail, Leer, Light Screen, Low Kick, Low Sweep, Protect, Psychic, Quick Attack, Rain Dance, Rest, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Screech, Shock Wave, Sleep Talk, Spark, Strength, Substitute, Swagger, Swift, Taunt, Thief, Thunder, Thunder Punch, Thunder Shock, Thunder Wave, Thunderbolt, Torment, Volt Switch, Wild Charge"
0467,Magmortar,Fire,,540,75,95,67,125,95,68.0 kg (149.9 lbs),Flame Body,,Vital Spirit,"Attract, Belch, Belly Drum, Brick Break, Bulldoze, Clear Smog, Confuse Ray, Cross Chop, Double Team, Dynamic Punch, Earthquake, Ember, Endure, Facade, Fire Blast, Fire Punch, Flame Wheel, Flamethrower, Flare Blitz, Fling, Focus Blast, Focus Energy, Focus Punch, Giga Impact, Hyper Beam, Iron Tail, Lava Plume, Leer, Low Kick, Low Sweep, Mach Punch, Mega Punch, Overheat, Poison Gas, Power Swap, Protect, Psychic, Rest, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Scary Face, Screech, Sleep Talk, Smog, Smokescreen, Solar Beam, Strength, Substitute, Sunny Day, Swagger, Tackle, Taunt, Thief, Thunder Punch, Thunderbolt, Torment, Will-O-Wisp"
0468,Togekiss,Fairy,Flying,545,85,50,95,120,115,38.0 kg (83.8 lbs),Hustle,Serene Grace,Super Luck,"Aerial Ace, After You, Air Slash, Ancient Power, Attract, Aura Sphere, Baton Pass, Brick Break, Charm, Dazzling Gleam, Defog, Double Team, Double-Edge, Drain Punch, Dream Eater, Endure, Extrasensory, Extreme Speed, Facade, Fairy Wind, Fire Blast, Flamethrower, Flash, Fling, Fly, Focus Punch, Follow Me, Future Sight, Giga Impact, Grass Knot, Growl, Hyper Beam, Last Resort, Life Dew, Light Screen, Metronome, Morning Sun, Nasty Plot, Peck, Pluck, Pound, Present, Protect, Psych Up, Psychic, Psycho Shift, Rain Dance, Reflect, Rest, Rock Smash, Roost, Safeguard, Shadow Ball, Shock Wave, Sky Attack, Sleep Talk, Solar Beam, Steel Wing, Stored Power, Substitute, Sunny Day, Swagger, Sweet Kiss, Thunder Wave, Tri Attack, Water Pulse, Wish, Work Up, Yawn"
0469,Yanmega,Bug,Flying,515,86,76,86,116,56,51.5 kg (113.5 lbs),Speed Boost,Tinted Lens,Frisk,"Aerial Ace, Air Slash, Ancient Power, Attract, Bug Bite, Bug Buzz, Crunch, Defog, Detect, Double Team, Double-Edge, Dream Eater, Endure, Facade, Feint, Flash, Giga Drain, Giga Impact, Gust, Hyper Beam, Hypnosis, Leech Life, Night Slash, Protect, Psych Up, Psychic, Quick Attack, Rest, Reversal, Roost, Screech, Shadow Ball, Silver Wind, Slash, Sleep Talk, Solar Beam, Steel Wing, String Shot, Substitute, Sunny Day, Supersonic, Swagger, Swords Dance, Tackle, Thief, U-turn, Uproar, Whirlwind, Wing Attack"
0470,Leafeon,Grass,,525,65,110,130,60,65,25.5 kg (56.2 lbs),Leaf Guard,,Chlorophyll,"Aerial Ace, Baby-Doll Eyes, Baton Pass, Bite, Body Slam, Bullet Seed, Calm Mind, Charm, Copycat, Covet, Curse, Detect, Dig, Double Kick, Double-Edge, Endure, Energy Ball, Facade, Fake Tears, Flail, Giga Drain, Giga Impact, Grass Knot, Growl, Helping Hand, Hyper Beam, Hyper Voice, Last Resort, Leaf Blade, Leaf Storm, Leech Seed, Magical Leaf, Mud Shot, Mud-Slap, Protect, Quick Attack, Rain Dance, Razor Leaf, Rest, Sand Attack, Seed Bomb, Shadow Ball, Sleep Talk, Solar Beam, Stored Power, Substitute, Sunny Day, Swift, Swords Dance, Synthesis, Tackle, Tail Whip, Take Down, Tera Blast, Tickle, Trailblaze, Wish, X-Scissor, Yawn"
0471,Glaceon,Ice,,525,65,60,110,130,95,25.9 kg (57.1 lbs),Snow Cloak,,Ice Body,"Avalanche, Baby-Doll Eyes, Baton Pass, Bite, Blizzard, Body Slam, Calm Mind, Charm, Chilling Water, Copycat, Covet, Curse, Detect, Dig, Double Kick, Double-Edge, Endure, Facade, Fake Tears, Flail, Freeze-Dry, Giga Impact, Growl, Helping Hand, Hyper Beam, Hyper Voice, Ice Beam, Ice Fang, Ice Shard, Icy Wind, Last Resort, Mirror Coat, Mud Shot, Mud-Slap, Protect, Quick Attack, Rain Dance, Rest, Sand Attack, Shadow Ball, Sleep Talk, Snowscape, Stored Power, Substitute, Sunny Day, Swift, Tackle, Tail Whip, Take Down, Tera Blast, Tickle, Water Pulse, Wish, Yawn"
0472,Gliscor,Ground,Flying,510,75,95,125,45,75,42.5 kg (93.7 lbs),Hyper Cutter,Sand Veil,Poison Heal,"Acrobatics, Aerial Ace, Agility, Attract, Baton Pass, Brick Break, Bulldoze, Counter, Cross Poison, Cut, Dark Pulse, Defog, Dig, Double Team, Double-Edge, Earth Power, Earthquake, Endure, Facade, False Swipe, Feint, Fire Fang, Fling, Fury Cutter, Giga Impact, Guillotine, Harden, Hyper Beam, Ice Fang, Iron Tail, Knock Off, Metal Claw, Mud Bomb, Mud-Slap, Night Slash, Payback, Pin Missile, Poison Jab, Poison Sting, Poison Tail, Power Trick, Protect, Quick Attack, Rain Dance, Rest, Rock Polish, Rock Slide, Rock Smash, Rock Tomb, Roost, Sand Attack, Sand Tomb, Sandstorm, Screech, Slash, Sleep Talk, Sludge Bomb, Stealth Rock, Steel Wing, Stone Edge, Strength, Substitute, Sunny Day, Swagger, Swords Dance, Taunt, Thief, Thunder Fang, Torment, U-turn, Wing Attack, X-Scissor"
0473,Mamoswine,Ice,Ground,530,110,130,80,70,60,291.0 kg (641.5 lbs),Oblivious,Snow Cloak,Thick Fat,"Amnesia, Ancient Power, Attract, Avalanche, Bite, Blizzard, Body Slam, Bulldoze, Curse, Dig, Double Hit, Double Team, Double-Edge, Earthquake, Endure, Facade, Fissure, Flail, Freeze-Dry, Giga Impact, Hail, Hyper Beam, Ice Beam, Ice Fang, Ice Shard, Icicle Crash, Icicle Spear, Icy Wind, Light Screen, Mist, Mud Shot, Mud-Slap, Powder Snow, Protect, Rain Dance, Reflect, Rest, Roar, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Sandstorm, Sleep Talk, Stealth Rock, Stone Edge, Strength, Substitute, Swagger, Tackle, Take Down, Thrash"
0474,Porygon-Z,Normal,,535,85,80,70,135,75,34.0 kg (75.0 lbs),Adaptability,Download,Analytic,"Aerial Ace, Agility, Blizzard, Charge Beam, Conversion, Conversion 2, Dark Pulse, Defense Curl, Discharge, Double Team, Dream Eater, Endure, Facade, Flash, Giga Impact, Hyper Beam, Ice Beam, Icy Wind, Iron Tail, Lock-On, Magic Coat, Magnet Rise, Nasty Plot, Power Shift, Protect, Psybeam, Psych Up, Psychic, Rain Dance, Recover, Recycle, Rest, Shadow Ball, Shock Wave, Sleep Talk, Solar Beam, Spark, Substitute, Sunny Day, Swagger, Swift, Tackle, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Tri Attack, Trick Room, Zap Cannon, Zen Headbutt"
0475,Gallade,Psychic,Fighting,518,68,125,65,65,115,52.0 kg (114.6 lbs),Steadfast,Sharpness,Justified,"Aerial Ace, Agility, Air Slash, Aqua Cutter, Aura Sphere, Body Slam, Brick Break, Bulk Up, Bulldoze, Calm Mind, Charge Beam, Charm, Close Combat, Confuse Ray, Confusion, Dazzling Gleam, Destiny Bond, Disable, Disarming Voice, Double Team, Drain Punch, Draining Kiss, Dream Eater, Earthquake, Encore, Endure, Energy Ball, Facade, False Swipe, Feint, Fire Punch, Fling, Focus Blast, Fury Cutter, Future Sight, Giga Impact, Grass Knot, Growl, Heal Pulse, Helping Hand, Hex, Hyper Beam, Hyper Voice, Hypnosis, Ice Punch, Icy Wind, Imprison, Knock Off, Leaf Blade, Leer, Life Dew, Light Screen, Low Kick, Low Sweep, Magical Leaf, Mean Look, Memento, Misty Terrain, Mystical Fire, Night Shade, Night Slash, Poison Jab, Protect, Psybeam, Psychic, Psychic Terrain, Psycho Cut, Psyshock, Quick Guard, Rain Dance, Reflect, Rest, Reversal, Rock Slide, Rock Tomb, Sacred Sword, Shadow Ball, Shadow Claw, Shadow Sneak, Skill Swap, Slash, Sleep Talk, Stone Edge, Stored Power, Substitute, Sunny Day, Swift, Swords Dance, Take Down, Taunt, Teleport, Tera Blast, Thief, Thunder Punch, Thunder Wave, Thunderbolt, Trick, Trick Room, Wide Guard, Will-O-Wisp, X-Scissor, Zen Headbutt"
0475,Gallade,Psychic,Fighting,618,68,165,95,65,115,52.0 kg (114.6 lbs),Steadfast,Sharpness,Justified,"Aerial Ace, Agility, Air Slash, Aqua Cutter, Aura Sphere, Body Slam, Brick Break, Bulk Up, Bulldoze, Calm Mind, Charge Beam, Charm, Close Combat, Confuse Ray, Confusion, Dazzling Gleam, Destiny Bond, Disable, Disarming Voice, Double Team, Drain Punch, Draining Kiss, Dream Eater, Earthquake, Encore, Endure, Energy Ball, Facade, False Swipe, Feint, Fire Punch, Fling, Focus Blast, Fury Cutter, Future Sight, Giga Impact, Grass Knot, Growl, Heal Pulse, Helping Hand, Hex, Hyper Beam, Hyper Voice, Hypnosis, Ice Punch, Icy Wind, Imprison, Knock Off, Leaf Blade, Leer, Life Dew, Light Screen, Low Kick, Low Sweep, Magical Leaf, Mean Look, Memento, Misty Terrain, Mystical Fire, Night Shade, Night Slash, Poison Jab, Protect, Psybeam, Psychic, Psychic Terrain, Psycho Cut, Psyshock, Quick Guard, Rain Dance, Reflect, Rest, Reversal, Rock Slide, Rock Tomb, Sacred Sword, Shadow Ball, Shadow Claw, Shadow Sneak, Skill Swap, Slash, Sleep Talk, Stone Edge, Stored Power, Substitute, Sunny Day, Swift, Swords Dance, Take Down, Taunt, Teleport, Tera Blast, Thief, Thunder Punch, Thunder Wave, Thunderbolt, Trick, Trick Room, Wide Guard, Will-O-Wisp, X-Scissor, Zen Headbutt"
0476,Probopass,Rock,Steel,525,60,55,145,75,150,340.0 kg (749.6 lbs),Sturdy,Magnet Pull,Sand Force,"Attract, Block, Body Press, Bulldoze, Dazzling Gleam, Discharge, Double Team, Double-Edge, Earth Power, Earthquake, Endure, Explosion, Facade, Flash Cannon, Giga Impact, Gravity, Harden, Hyper Beam, Iron Defense, Lock-On, Magnet Rise, Magnetic Flux, Power Gem, Protect, Rest, Rock Blast, Rock Polish, Rock Slide, Rock Smash, Rock Throw, Rock Tomb, Rollout, Sandstorm, Shock Wave, Sleep Talk, Smack Down, Spark, Stealth Rock, Stone Edge, Strength, Substitute, Sunny Day, Swagger, Tackle, Taunt, Thunder, Thunder Wave, Thunderbolt, Torment, Tri Attack, Volt Switch, Wide Guard, Zap Cannon"
0477,Dusknoir,Ghost,,525,45,100,135,65,135,106.6 kg (235.0 lbs),Pressure,,Frisk,"Absorb, Astonish, Attract, Bind, Blizzard, Brick Break, Bulldoze, Calm Mind, Charge Beam, Confuse Ray, Curse, Dark Pulse, Destiny Bond, Disable, Double Team, Dream Eater, Earthquake, Endure, Facade, Fire Punch, Flash, Fling, Focus Blast, Focus Punch, Future Sight, Giga Impact, Gravity, Grudge, Haze, Hex, Hyper Beam, Ice Beam, Ice Punch, Imprison, Leech Life, Leer, Mean Look, Memento, Night Shade, Pain Split, Payback, Protect, Psych Up, Psychic, Rain Dance, Rest, Rock Slide, Rock Smash, Rock Tomb, Shadow Ball, Shadow Punch, Shadow Sneak, Skill Swap, Sleep Talk, Strength, Substitute, Sunny Day, Swagger, Taunt, Thief, Thunder Punch, Torment, Trick Room, Will-O-Wisp"
0478,Froslass,Ice,Ghost,480,70,80,70,80,70,26.6 kg (58.6 lbs),Snow Cloak,,Cursed Body,"Astonish, Aurora Veil, Avalanche, Bite, Blizzard, Block, Body Slam, Charm, Chilling Water, Confuse Ray, Crunch, Destiny Bond, Disable, Double Team, Draining Kiss, Endure, Facade, Fake Tears, Fling, Frost Breath, Giga Impact, Headbutt, Helping Hand, Hex, Hyper Beam, Ice Beam, Ice Fang, Ice Punch, Ice Shard, Ice Spinner, Icicle Crash, Icy Wind, Imprison, Leer, Light Screen, Night Shade, Powder Snow, Protect, Psychic, Rain Dance, Reflect, Rest, Rollout, Scary Face, Shadow Ball, Sleep Talk, Snowscape, Spikes, Substitute, Switcheroo, Take Down, Taunt, Tera Blast, Thunder, Thunder Wave, Thunderbolt, Trick, Water Pulse, Will-O-Wisp"
0479,Rotom,Electric,Ghost,440,50,50,77,95,77,0.3 kg (0.7 lbs),Levitate,,,"Astonish, Charge, Charge Beam, Confuse Ray, Dark Pulse, Discharge, Double Team, Eerie Impulse, Electric Terrain, Electro Ball, Endure, Facade, Foul Play, Helping Hand, Hex, Hyper Voice, Light Screen, Nasty Plot, Night Shade, Ominous Wind, Protect, Rain Dance, Reflect, Rest, Shadow Ball, Shock Wave, Sleep Talk, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Trick, Uproar, Volt Switch, Will-O-Wisp"
0479,Rotom,Electric,Fire,520,50,65,107,105,107,0.3 kg (0.7 lbs),Levitate,,,"Astonish, Charge, Charge Beam, Confuse Ray, Dark Pulse, Discharge, Double Team, Eerie Impulse, Electric Terrain, Electro Ball, Endure, Facade, Foul Play, Helping Hand, Hex, Hyper Voice, Light Screen, Nasty Plot, Night Shade, Ominous Wind, Protect, Rain Dance, Reflect, Rest, Shadow Ball, Shock Wave, Sleep Talk, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Trick, Uproar, Volt Switch, Will-O-Wisp"
0479,Rotom,Electric,Water,520,50,65,107,105,107,0.3 kg (0.7 lbs),Levitate,,,"Astonish, Charge, Charge Beam, Confuse Ray, Dark Pulse, Discharge, Double Team, Eerie Impulse, Electric Terrain, Electro Ball, Endure, Facade, Foul Play, Helping Hand, Hex, Hyper Voice, Light Screen, Nasty Plot, Night Shade, Ominous Wind, Protect, Rain Dance, Reflect, Rest, Shadow Ball, Shock Wave, Sleep Talk, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Trick, Uproar, Volt Switch, Will-O-Wisp"
0479,Rotom,Electric,Ice,520,50,65,107,105,107,0.3 kg (0.7 lbs),Levitate,,,"Astonish, Charge, Charge Beam, Confuse Ray, Dark Pulse, Discharge, Double Team, Eerie Impulse, Electric Terrain, Electro Ball, Endure, Facade, Foul Play, Helping Hand, Hex, Hyper Voice, Light Screen, Nasty Plot, Night Shade, Ominous Wind, Protect, Rain Dance, Reflect, Rest, Shadow Ball, Shock Wave, Sleep Talk, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Trick, Uproar, Volt Switch, Will-O-Wisp"
0479,Rotom,Electric,Flying,520,50,65,107,105,107,0.3 kg (0.7 lbs),Levitate,,,"Astonish, Charge, Charge Beam, Confuse Ray, Dark Pulse, Discharge, Double Team, Eerie Impulse, Electric Terrain, Electro Ball, Endure, Facade, Foul Play, Helping Hand, Hex, Hyper Voice, Light Screen, Nasty Plot, Night Shade, Ominous Wind, Protect, Rain Dance, Reflect, Rest, Shadow Ball, Shock Wave, Sleep Talk, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Trick, Uproar, Volt Switch, Will-O-Wisp"
0479,Rotom,Electric,Grass,520,50,65,107,105,107,0.3 kg (0.7 lbs),Levitate,,,"Astonish, Charge, Charge Beam, Confuse Ray, Dark Pulse, Discharge, Double Team, Eerie Impulse, Electric Terrain, Electro Ball, Endure, Facade, Foul Play, Helping Hand, Hex, Hyper Voice, Light Screen, Nasty Plot, Night Shade, Ominous Wind, Protect, Rain Dance, Reflect, Rest, Shadow Ball, Shock Wave, Sleep Talk, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Trick, Uproar, Volt Switch, Will-O-Wisp"
0480,Uxie,Psychic,,580,75,75,130,75,130,0.3 kg (0.7 lbs),Levitate,,,"Acrobatics, Amnesia, Baton Pass, Calm Mind, Charge Beam, Confuse Ray, Confusion, Dazzling Gleam, Double Hit, Drain Punch, Draining Kiss, Encore, Endure, Energy Ball, Extrasensory, Facade, Fire Punch, Flail, Fling, Foul Play, Future Sight, Giga Drain, Giga Impact, Grass Knot, Helping Hand, Hyper Beam, Hypnosis, Ice Punch, Imprison, Iron Tail, Light Screen, Memento, Metronome, Mud-Slap, Mystical Power, Nasty Plot, Play Rough, Power Shift, Protect, Psybeam, Psychic, Psycho Cut, Psyshock, Rain Dance, Reflect, Rest, Sandstorm, Shadow Ball, Skill Swap, Sleep Talk, Solar Beam, Stealth Rock, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thunder, Thunder Punch, Thunder Wave, Thunderbolt, Tri Attack, Trick, Trick Room, U-turn, Water Pulse, Yawn, Zen Headbutt"
0481,Mesprit,Psychic,,580,80,105,105,105,105,0.3 kg (0.7 lbs),Levitate,,,"Acrobatics, Baton Pass, Blizzard, Calm Mind, Charge Beam, Charm, Confuse Ray, Confusion, Copycat, Dazzling Gleam, Double Hit, Drain Punch, Draining Kiss, Encore, Endure, Energy Ball, Extrasensory, Facade, Fire Punch, Flatter, Fling, Future Sight, Giga Impact, Grass Knot, Healing Wish, Helping Hand, Hyper Beam, Ice Beam, Ice Punch, Imprison, Iron Tail, Light Screen, Metronome, Mystical Power, Nasty Plot, Play Rough, Protect, Psybeam, Psychic, Psycho Cut, Psyshock, Rain Dance, Recover, Reflect, Rest, Sandstorm, Shadow Ball, Skill Swap, Sleep Talk, Stealth Rock, Stored Power, Substitute, Sunny Day, Swift, Tera Blast, Thunder, Thunder Punch, Thunder Wave, Thunderbolt, Tri Attack, Trick, Trick Room, U-turn, Water Pulse, Zen Headbutt"
